iter	Passed	Remaining
0	146	146847
1	149	74447
2	151	50380
3	153	38304
4	155	30875
5	156	25934
6	157	22402
7	159	19833
8	161	17816
9	164	16249
10	166	14945
11	167	13825
12	169	12851
13	170	12037
14	172	11322
15	173	10687
16	174	10118
17	177	9677
18	179	9276
19	181	8893
20	183	8543
21	184	8218
22	186	7911
23	187	7628
24	188	7369
25	190	7141
26	192	6946
27	194	6737
28	195	6545
29	197	6375
30	198	6210
31	200	6050
32	201	5912
33	203	5777
34	205	5659
35	207	5549
36	208	5439
37	210	5339
38	212	5229
39	213	5127
40	215	5031
41	216	4941
42	218	4851
43	222	4824
44	223	4747
45	225	4670
46	226	4595
47	228	4528
48	229	4461
49	231	4392
50	232	4328
51	235	4289
52	236	4229
53	237	4168
54	239	4110
55	240	4058
56	242	4005
57	243	3952
58	244	3900
59	245	3853
60	247	3807
61	250	3782
62	251	3744
63	253	3707
64	254	3667
65	256	3626
66	257	3586
67	258	3548
68	260	3514
69	261	3480
70	263	3444
71	265	3420
72	268	3405
73	269	3373
74	271	3344
75	272	3314
76	274	3286
77	275	3257
78	276	3229
79	278	3201
80	280	3183
81	282	3164
82	283	3132
83	285	3109
84	286	3086
85	288	3061
86	289	3037
87	291	3016
88	292	2996
89	294	2980
90	296	2965
91	298	2948
92	300	2931
93	301	2909
94	303	2889
95	304	2870
96	306	2850
97	307	2830
98	309	2820
99	311	2807
100	313	2790
101	315	2775
102	316	2758
103	318	2741
104	319	2725
105	321	2708
106	322	2692
107	325	2687
108	327	2675
109	328	2659
110	330	2646
111	331	2631
112	333	2614
113	334	2598
114	335	2584
115	337	2569
116	338	2555
117	340	2543
118	341	2531
119	343	2519
120	345	2509
121	346	2492
122	347	2478
123	349	2466
124	350	2453
125	351	2441
126	353	2426
127	354	2416
128	356	2410
129	358	2399
130	360	2388
131	361	2378
132	363	2372
133	365	2362
134	367	2351
135	368	2343
136	371	2341
137	373	2335
138	376	2330
139	378	2323
140	380	2316
141	381	2305
142	384	2301
143	387	2301
144	389	2295
145	391	2290
146	393	2283
147	395	2277
148	397	2270
149	400	2267
150	403	2266
151	405	2260
152	407	2254
153	409	2249
154	411	2242
155	413	2236
156	415	2232
157	418	2229
158	420	2224
159	422	2218
160	423	2207
161	425	2202
162	427	2194
163	429	2191
164	432	2187
165	434	2182
166	436	2177
167	438	2171
168	440	2165
169	442	2159
170	444	2157
171	448	2158
172	450	2151
173	452	2146
174	454	2140
175	455	2133
176	457	2127
177	460	2125
178	463	2123
179	465	2120
180	467	2115
181	469	2109
182	471	2105
183	473	2099
184	476	2097
185	478	2093
186	480	2088
187	482	2083
188	484	2078
189	486	2073
190	488	2069
191	491	2069
192	494	2066
193	496	2062
194	498	2058
195	500	2053
196	502	2048
197	504	2042
198	507	2042
199	509	2036
200	510	2031
201	512	2026
202	514	2020
203	516	2014
204	517	2008
205	520	2007
206	523	2004
207	525	2001
208	527	1998
209	529	1992
210	531	1988
211	533	1982
212	536	1983
213	539	1980
214	540	1974
215	542	1969
216	544	1965
217	546	1959
218	547	1954
219	549	1949
220	552	1948
221	554	1944
222	556	1940
223	558	1936
224	560	1931
225	562	1925
226	565	1924
227	567	1921
228	569	1917
229	571	1914
230	573	1910
231	576	1906
232	578	1903
233	580	1900
234	583	1898
235	585	1895
236	587	1891
237	589	1886
238	591	1881
239	593	1878
240	595	1876
241	598	1873
242	600	1869
243	602	1865
244	604	1861
245	606	1858
246	608	1854
247	610	1849
248	612	1847
249	614	1843
250	616	1838
251	617	1833
252	619	1829
253	621	1826
254	623	1822
255	625	1819
256	628	1816
257	630	1813
258	632	1809
259	634	1805
260	636	1801
261	637	1796
262	639	1792
263	642	1791
264	644	1787
265	646	1783
266	648	1780
267	650	1777
268	652	1773
269	654	1768
270	656	1766
271	658	1763
272	660	1760
273	663	1757
274	664	1753
275	666	1748
276	668	1744
277	670	1740
278	673	1739
279	675	1736
280	677	1733
281	679	1728
282	680	1724
283	682	1720
284	683	1715
285	686	1714
286	689	1712
287	691	1708
288	693	1705
289	694	1701
290	696	1697
291	698	1693
292	700	1690
293	702	1687
294	704	1683
295	706	1680
296	708	1676
297	709	1672
298	711	1668
299	713	1664
300	714	1660
301	717	1659
302	720	1656
303	721	1652
304	723	1648
305	724	1644
306	726	1640
307	728	1636
308	729	1631
309	731	1629
310	734	1626
311	735	1622
312	737	1618
313	738	1614
314	740	1610
